id,date,time,order,line,latitude,longitude,speed
17672543,03-06-2019,16:30:50,B32508,688.0,-22.86072,-43.307411,46.0
8873596,02-21-2019,21:28:06,A48150,202.0,-22.903786,-43.186813,1.85
18604512,02-28-2019,11:33:50,D86363,852.0,-22.93648,-43.575729,48.0
4483743,03-19-2019,06:35:47,C47607,600.0,-22.916361,-43.274319,39.0
7321905,02-06-2019,05:52:50,A27611,439.0,-22.914709,-43.2356,26.0
15598335,03-01-2019,20:19:19,A41069,110.0,-22.96599,-43.216431,43.0
6467984,02-13-2019,19:48:29,A48147,415.0,-22.945894,-43.255119,37.04
29402341,01-30-2019,20:53:08,B28585,326.0,-22.814369,-43.221001,39.0
34876690,03-04-2019,13:53:54,C41352,309.0,-22.97282,-43.224781,42.0
28755606,02-14-2019,06:33:01,B71023,247.0,-22.905275,-43.191929,0.37
16383222,02-06-2019,07:01:00,B32814,298.0,-22.844999,-43.33773,18.0
52733345,02-14-2019,18:39:03,D53522,369.0,-22.910120000000003,-43.207668,28.0
24862942,02-25-2019,19:06:29,B11543,908.0,-22.872366,-43.283684,26.0
8466233,03-08-2019,11:05:05,C27072,940.0,-22.8428,-43.26342,18.0
7081924,02-22-2019,23:06:20,C82597,363.0,-22.896311,-43.312508,41.67
43121924,02-15-2019,14:49:20,C30328,557.0,-22.98662,-43.219299,37.0
58728593,01-30-2019,06:27:58,D13056,383.0,-22.8867,-43.424679,0.0
24650225,02-14-2019,06:42:30,B11529,908.0,-22.882406,-43.327209,5.0
18214817,03-11-2019,11:18:20,A29068,461.0,-22.92514,-43.209549,62.0
49310056,02-01-2019,08:13:35,D13360,811.0,-22.87351,-43.467541,29.0
57618252,03-19-2019,17:19:30,C47600,368.0,-22.97547,-43.41383,28.0
29310924,02-19-2019,16:31:55,C30228,859.0,-22.91691,-43.343819,0.0
44978859,01-29-2019,11:04:18,A71521,409.0,-22.966736,-43.231575,0.56
30822405,01-25-2019,17:42:58,D86369,867.0,-22.901489,-43.555199,0.0
25390815,02-22-2019,09:28:56,B63078,920.0,-22.828211,-43.319481,27.0
49571069,03-04-2019,16:44:49,B32698,342.0,-22.81608,-43.301579,0.0
14186916,02-02-2019,06:47:53,A41134,460.0,-22.978069,-43.21846,0.0
15697658,02-14-2019,17:04:07,B28557,925.0,-22.810909,-43.191879,20.0
40169485,02-05-2019,08:15:06,C47568,861.0,-22.95612,-43.393398,0.0
32237721,01-25-2019,09:14:45,B11644,669.0,-22.895422,-43.291885,45.0
37734733,03-02-2019,19:04:53,B51532,917.0,-22.885469,-43.27853,0.0
25590217,02-06-2019,09:34:39,B42577,277.0,-22.8692,-43.34293,21.0
35171454,02-08-2019,17:32:33,C47828,692.0,-22.986271,-43.365372,14.0
26034637,03-16-2019,17:50:22,D17050,841.0,-22.88513,-43.569401,12.0
55638497,03-17-2019,17:51:52,B32679,793.0,-22.865431,-43.401379,26.0
26709162,01-25-2019,12:49:00,D86399,864.0,-22.90172,-43.556149,0.0
36896894,01-25-2019,16:29:54,B42574,254.0,-22.87639,-43.33448,0.0
57486207,02-21-2019,22:35:27,C47685,368.0,-22.95373,-43.375771,0.0
49257223,03-11-2019,11:37:33,C50076,805.0,-23.010279,-43.349453,67.41
44735371,03-09-2019,19:25:18,C47542,390.0,-22.9272,-43.367119,0.0
45643894,02-11-2019,19:09:23,C47553,353.0,-22.897381,-43.285091,0.0
16105926,02-05-2019,08:25:59,D86718,2381.0,-22.91523,-43.563251,26.0
27915890,01-30-2019,17:16:01,B10524,680.0,-22.9006,-43.279411,12.0
9892122,03-21-2019,05:14:57,B25579,606.0,-22.90484,-43.274239,55.0
11166277,01-31-2019,12:51:02,B44651,638.0,-22.903749,-43.2696,0.0
53178817,02-14-2019,21:04:43,B58160,625.0,-22.916639,-43.254139,0.0
32910760,02-15-2019,18:18:19,B28622,696.0,-22.90015,-43.27943,0.0
